"filename", "language", "JavaScript", "JSON", "Properties", "HTML", "PostCSS", "JavaScript JSX", "Markdown", "XML", "comment", "blank", "total"
"d:\datn\DO-AN\frontend\src\Admin\ProductEdit.css", "PostCSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\datn\DO-AN\frontend\src\Admin\ProductEdit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 169, 0, 0, 0, 16, 185
"d:\datn\DO-AN\frontend\src\Admin\Reviews.css", "PostCSS", 0, 0, 0, 0, 72, 0, 0, 0, 0, 14, 86
"d:\datn\DO-AN\frontend\src\Admin\Reviews.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 4, 25, 95
"d:\datn\DO-AN\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"d:\datn\DO-AN\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 2, 3, 66
"d:\datn\DO-AN\frontend\src\Components\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
"d:\datn\DO-AN\frontend\src\Components\Account.css", "PostCSS", 0, 0, 0, 0, 74, 0, 0, 0, 0, 16, 90
"d:\datn\DO-AN\frontend\src\Components\Account.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 134, 0, 0, 3, 10, 147
"d:\datn\DO-AN\frontend\src\Components\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 1, 13, 117
"d:\datn\DO-AN\frontend\src\Components\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 38, 5, 43
"d:\datn\DO-AN\frontend\src\Components\Danhgia.css", "PostCSS", 0, 0, 0, 0, 68, 0, 0, 0, 8, 10, 86
"d:\datn\DO-AN\frontend\src\Components\Danhgia.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 131, 0, 0, 0, 19, 150
"d:\datn\DO-AN\frontend\src\Components\ForgotPassword.css", "PostCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\datn\DO-AN\frontend\src\Components\ForgotPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 4, 16, 92
"d:\datn\DO-AN\frontend\src\Components\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 8, 20
"d:\datn\DO-AN\frontend\src\Components\LoginSignup\LoginSignup.css", "PostCSS", 0, 0, 0, 0, 117, 0, 0, 0, 0, 13, 130
"d:\datn\DO-AN\frontend\src\Components\LoginSignup\LoginSignup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 4, 18, 203
"d:\datn\DO-AN\frontend\src\Components\Page.css", "PostCSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"d:\datn\DO-AN\frontend\src\Components\Page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 2, 17, 115
"d:\datn\DO-AN\frontend\src\Components\Productdetails.css", "PostCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\datn\DO-AN\frontend\src\Components\Productdetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 18, 85
"d:\datn\DO-AN\frontend\src\Components\Products.css", "PostCSS", 0, 0, 0, 0, 22, 0, 0, 0, 3, 2, 27
"d:\datn\DO-AN\frontend\src\Components\Products.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 0, 13, 116
"d:\datn\DO-AN\frontend\src\Components\ResetPassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 6, 57
